freq_mhz,period_ns,wns_ns,tns_ns,area_um2,leakage_power_uw,dynamic_power_uw,total_power_uw,timing_met,phase
10,100.0,73.43,NA,26913.312,0.00928643,438.202,438.21099999999996,1,binary_search
255,3.9215686274509802,-3.884,NA,43203.936,0.0231461,19954.890000000003,19954.9,0,binary_search
132,7.575757575757576,0.0,NA,43872.077,0.0235989,10283.8,10283.8,1,binary_search
193,5.181347150259067,-2.363,NA,42528.288,0.0230769,14361.83,14361.9,0,binary_search
162,6.172839506172839,-1.219,NA,43558.026,0.0239709,13007.24,13007.3,0,binary_search
147,6.802721088435374,-0.68,NA,43198.931,0.0234808,11318.25,11318.3,0,binary_search
139,7.194244604316546,-0.129,NA,43062.55,0.0234771,10803.0,10803.0,0,binary_search
135,7.407407407407407,0.0,NA,42543.302,0.0229836,10347.34,10347.4,1,binary_search
137,7.299270072992701,0.0,NA,42385.651,0.022694100000000002,10451.7,10451.699999999999,1,binary_search
97,10.309278350515465,0.001,NA,31511.472,0.0127072,5719.94,5719.96,1,local_sweep
117,8.547008547008547,0.0,NA,33390.774,0.0146455,7470.009999999999,7470.03,1,local_sweep
127,7.874015748031496,0.0,NA,37611.072,0.0187909,8813.51,8813.53,1,local_sweep
