freq_mhz,period_ns,wns_ns,tns_ns,area_um2,leakage_power_uw,dynamic_power_uw,total_power_uw,timing_met,phase
10,100.0,73.43,NA,26913.312,0.00928643,438.202,438.21099999999996,1,binary_search
255,3.9215686274509802,-3.719,NA,40064.675,0.0218491,16662.43,16662.5,0,binary_search
132,7.575757575757576,-0.043,NA,40318.669,0.0222888,8927.02,8927.04,0,binary_search
71,14.084507042253522,0.001,NA,27585.206,0.0113165,3430.5099999999998,3430.53,1,binary_search
101,9.900990099009901,0.0,NA,31512.723,0.014097199999999999,5187.26,5187.28,1,binary_search
116,8.620689655172415,0.0,NA,35367.67,0.0180333,6537.76,6537.78,1,binary_search
124,8.064516129032258,0.0,NA,36368.63,0.0185747,7371.6,7371.62,1,binary_search
128,7.8125,0.0,NA,37996.442,0.019918599999999998,8086.54,8086.549999999999,1,binary_search
130,7.6923076923076925,0.0,NA,38974.88,0.0209088,8206.54,8206.56,1,binary_search
90,11.11111111111111,0.0,NA,29243.046,0.011988799999999999,4404.929999999999,4404.9400000000005,1,local_sweep
110,9.090909090909092,0.0,NA,34878.451,0.0173018,5821.200000000001,5821.22,1,local_sweep
120,8.333333333333334,0.0,NA,35645.437,0.0178044,6801.339999999999,6801.35,1,local_sweep
